Date,Adj Close,Volume,Symbol
1999-11-18,77.9375,5810400,AMZN
1999-11-19,77.9375,5760600,AMZN
1999-11-22,80.5,10708400,AMZN
1999-11-23,81.75,18332500,AMZN
1999-11-24,87.25,14483100,AMZN
1999-11-26,93.125,11496000,AMZN
1999-11-29,90.4375,18053700,AMZN
1999-11-30,85.0625,13465500,AMZN
1999-12-01,85.0,10663600,AMZN
1999-12-02,89.0625,9538700,AMZN
1999-12-03,86.5625,11151200,AMZN
1999-12-06,87.75,9199200,AMZN
1999-12-07,86.0625,6727100,AMZN
1999-12-08,88.5625,12867200,AMZN
1999-12-09,103.625,41364600,AMZN
1999-12-10,106.6875,14929000,AMZN
1999-12-13,102.5,8653700,AMZN
1999-12-14,95.625,10107900,AMZN
1999-12-15,96.5,10133500,AMZN
1999-12-16,94.875,7004400,AMZN
1999-12-17,94.0625,5955900,AMZN
1999-12-20,97.0,10566600,AMZN
1999-12-21,99.875,9509500,AMZN
1999-12-22,97.6875,5921000,AMZN
1999-12-23,90.0,12914600,AMZN
1999-12-27,81.125,16523800,AMZN
1999-12-28,82.3125,10304300,AMZN
1999-12-29,83.5,5913000,AMZN
1999-12-30,79.0625,9256600,AMZN
1999-12-31,76.125,7270700,AMZN
2000-01-03,89.375,16117600,AMZN
2000-01-04,81.9375,17487400,AMZN
2000-01-05,69.75,38457400,AMZN
2000-01-06,65.5625,18752000,AMZN
2000-01-07,69.5625,10505400,AMZN
2000-01-10,69.1875,14757900,AMZN
2000-01-11,66.75,10532700,AMZN
2000-01-12,63.5625,10804500,AMZN
2000-01-13,65.9375,10448100,AMZN
2000-01-14,64.25,6853600,AMZN
2000-01-18,64.125,5384900,AMZN
2000-01-19,66.8125,8245500,AMZN
2000-01-20,64.75,5978000,AMZN
2000-01-21,62.0625,11461900,AMZN
2000-01-24,70.125,29170200,AMZN
2000-01-25,69.25,9434100,AMZN
2000-01-26,64.8125,6558000,AMZN
2000-01-27,66.9375,6784000,AMZN
2000-01-28,61.6875,13777900,AMZN
2000-01-31,64.5625,10697900,AMZN
2000-02-01,67.4375,13404600,AMZN
2000-02-02,69.4375,14025900,AMZN
2000-02-03,84.1875,43750000,AMZN
2000-02-04,78.5625,11023000,AMZN
2000-02-07,75.0,10129000,AMZN
2000-02-08,83.125,19472800,AMZN
2000-02-09,80.25,9580400,AMZN
2000-02-10,76.1875,9979600,AMZN
2000-02-11,76.1875,8309000,AMZN
2000-02-14,74.4375,5169700,AMZN
2000-02-15,73.8125,6424500,AMZN
2000-02-16,70.6875,4260200,AMZN
2000-02-17,69.0,6129600,AMZN
2000-02-18,64.75,8726400,AMZN
2000-02-22,63.5625,5685800,AMZN
2000-02-23,70.4375,8441200,AMZN
2000-02-24,68.4375,5869300,AMZN
2000-02-25,69.125,4870500,AMZN
2000-02-28,65.75,5057700,AMZN
2000-02-29,68.875,7148500,AMZN
2000-03-01,65.875,5576700,AMZN
2000-03-02,62.5625,7980100,AMZN
2000-03-03,62.5,6059500,AMZN
2000-03-06,63.9375,7665800,AMZN
2000-03-07,63.5,4178800,AMZN
2000-03-08,63.625,5940700,AMZN
2000-03-09,68.8125,8312500,AMZN
2000-03-10,66.875,3713500,AMZN
2000-03-13,65.3125,5634300,AMZN
2000-03-14,65.625,4805300,AMZN
2000-03-15,63.75,6082700,AMZN
2000-03-16,66.25,9703100,AMZN
2000-03-17,64.8125,5298500,AMZN
2000-03-20,64.1875,5813500,AMZN
2000-03-21,72.375,17082900,AMZN
