Date,Adj Close,Volume,Symbol
1999-11-18,29.0625,198500,AZO
1999-11-19,28.875,122200,AZO
1999-11-22,28.5625,822200,AZO
1999-11-23,27.0,418800,AZO
1999-11-24,27.125,249900,AZO
1999-11-26,27.8125,127600,AZO
1999-11-29,27.5625,328500,AZO
1999-11-30,27.5625,331900,AZO
1999-12-01,28.0,318400,AZO
1999-12-02,27.6875,328700,AZO
1999-12-03,27.375,335400,AZO
1999-12-06,27.9375,277200,AZO
1999-12-07,29.6875,1119300,AZO
1999-12-08,30.0,646300,AZO
1999-12-09,29.875,546200,AZO
1999-12-10,31.75,597200,AZO
1999-12-13,30.1875,522600,AZO
1999-12-14,29.8125,494000,AZO
1999-12-15,30.75,658300,AZO
1999-12-16,30.625,384700,AZO
1999-12-17,30.5625,691900,AZO
1999-12-20,30.5625,301400,AZO
1999-12-21,30.4375,430500,AZO
1999-12-22,30.3125,314800,AZO
1999-12-23,30.375,313200,AZO
1999-12-27,31.0625,308400,AZO
1999-12-28,31.625,227500,AZO
1999-12-29,30.75,473000,AZO
1999-12-30,31.625,276800,AZO
1999-12-31,32.3125,171000,AZO
2000-01-03,30.5625,441000,AZO
2000-01-04,30.4375,490600,AZO
2000-01-05,30.3125,577400,AZO
2000-01-06,29.0625,489600,AZO
2000-01-07,30.4375,472100,AZO
2000-01-10,30.6875,355100,AZO
2000-01-11,30.0625,648700,AZO
2000-01-12,29.8125,445500,AZO
2000-01-13,30.0,224300,AZO
2000-01-14,29.75,546400,AZO
2000-01-18,29.625,341900,AZO
2000-01-19,30.125,240500,AZO
2000-01-20,29.0625,375400,AZO
2000-01-21,28.25,516500,AZO
2000-01-24,27.75,384600,AZO
2000-01-25,27.875,361200,AZO
2000-01-26,27.625,600700,AZO
2000-01-27,27.0,441300,AZO
2000-01-28,26.1875,384800,AZO
2000-01-31,26.25,329400,AZO
2000-02-01,26.3125,564300,AZO
2000-02-02,25.8125,512200,AZO
2000-02-03,26.5625,428900,AZO
2000-02-04,26.625,388000,AZO
