Date,Adj Close,Volume,Symbol
1999-11-18,24.0625,59100,MHK
1999-11-19,23.25,91200,MHK
1999-11-22,24.4375,174800,MHK
1999-11-23,25.25,206500,MHK
1999-11-24,26.125,152300,MHK
1999-11-26,25.9375,31100,MHK
1999-11-29,25.4375,115700,MHK
1999-11-30,24.9375,225100,MHK
1999-12-01,23.6875,236900,MHK
1999-12-02,24.4375,282600,MHK
1999-12-03,26.0,336600,MHK
1999-12-06,25.1875,103200,MHK
1999-12-07,25.75,70800,MHK
1999-12-08,25.75,100200,MHK
1999-12-09,25.5,159600,MHK
1999-12-10,25.5,109500,MHK
1999-12-13,24.0625,169900,MHK
1999-12-14,25.5,165800,MHK
1999-12-15,25.0625,88600,MHK
1999-12-16,25.0,47100,MHK
1999-12-17,25.6875,183600,MHK
1999-12-20,25.125,136400,MHK
1999-12-21,25.1875,179600,MHK
1999-12-22,24.75,82200,MHK
1999-12-23,24.9375,109800,MHK
1999-12-27,24.9375,138000,MHK
1999-12-28,25.0625,125900,MHK
1999-12-29,25.4375,102200,MHK
1999-12-30,26.625,165700,MHK
1999-12-31,26.375,52300,MHK
2000-01-03,24.5625,159500,MHK
2000-01-04,24.0,160600,MHK
2000-01-05,24.4375,80400,MHK
2000-01-06,24.3125,105300,MHK
2000-01-07,24.625,53700,MHK
2000-01-10,24.8125,60000,MHK
2000-01-11,24.375,99100,MHK
2000-01-12,23.5,105600,MHK
2000-01-13,24.375,236100,MHK
2000-01-14,25.0,387100,MHK
2000-01-18,24.75,96300,MHK
2000-01-19,24.875,146400,MHK
2000-01-20,23.5625,132000,MHK
2000-01-21,23.6875,105400,MHK
2000-01-24,23.5625,57500,MHK
2000-01-25,22.25,243800,MHK
2000-01-26,22.3125,290600,MHK
2000-01-27,22.6875,215900,MHK
2000-01-28,23.0625,213200,MHK
2000-01-31,23.4375,320600,MHK
2000-02-01,23.5625,371300,MHK
2000-02-02,23.375,191200,MHK
2000-02-03,23.25,211000,MHK
2000-02-04,23.3125,68600,MHK
2000-02-07,22.8125,33500,MHK
2000-02-08,22.625,106000,MHK
2000-02-09,21.75,169600,MHK
2000-02-10,22.1875,200700,MHK
2000-02-11,21.8125,171200,MHK
2000-02-14,22.375,368300,MHK
2000-02-15,22.625,170300,MHK
2000-02-16,22.625,198900,MHK
2000-02-17,22.4375,136700,MHK
2000-02-18,22.8125,418900,MHK
2000-02-22,21.375,131300,MHK
2000-02-23,20.9375,173400,MHK
2000-02-24,20.6875,174800,MHK
2000-02-25,21.625,234400,MHK
2000-02-28,21.875,197900,MHK
2000-02-29,22.1875,153600,MHK
2000-03-01,22.25,151400,MHK
2000-03-02,21.9375,103900,MHK
2000-03-03,21.4375,99200,MHK
2000-03-06,20.625,81000,MHK
2000-03-07,21.0,137500,MHK
2000-03-08,19.75,167600,MHK
2000-03-09,20.3125,255100,MHK
2000-03-10,19.8125,100300,MHK
2000-03-13,19.25,138300,MHK
2000-03-14,20.375,369100,MHK
2000-03-15,21.25,262800,MHK
2000-03-16,21.0625,262500,MHK
2000-03-17,20.75,209500,MHK
2000-03-20,19.6875,147300,MHK
2000-03-21,19.6875,162500,MHK
2000-03-22,19.625,110800,MHK
2000-03-23,20.5625,247500,MHK
2000-03-24,20.5625,385100,MHK
2000-03-27,20.0625,66000,MHK
2000-03-28,20.3125,81100,MHK
2000-03-29,21.125,359200,MHK
2000-03-30,23.375,349200,MHK
2000-03-31,22.375,376500,MHK
2000-04-03,23.0,234300,MHK
2000-04-04,22.9375,170700,MHK
2000-04-05,22.0,331400,MHK
2000-04-06,22.375,136700,MHK
2000-04-07,22.25,131800,MHK
2000-04-10,22.25,84400,MHK
2000-04-11,22.25,148600,MHK
2000-04-12,23.0625,287400,MHK
2000-04-13,23.0,138200,MHK
2000-04-14,22.0625,96400,MHK
2000-04-17,22.125,105800,MHK
2000-04-18,21.8125,88400,MHK
2000-04-19,22.3125,213000,MHK
2000-04-20,23.4375,272700,MHK
2000-04-24,24.625,219200,MHK
2000-04-25,24.5625,271500,MHK
2000-04-26,24.3125,303900,MHK
2000-04-27,24.625,402900,MHK
2000-04-28,24.8125,248400,MHK
2000-05-01,25.5,118200,MHK
2000-05-02,24.5,56000,MHK
2000-05-03,24.5625,71400,MHK
2000-05-04,24.9375,108600,MHK
2000-05-05,24.9375,185400,MHK
2000-05-08,23.9375,76000,MHK
2000-05-09,23.875,117400,MHK
2000-05-10,24.1875,139100,MHK
2000-05-11,25.4375,397900,MHK
2000-05-12,24.4375,321600,MHK
2000-05-15,24.125,65100,MHK
2000-05-16,24.6875,111400,MHK
2000-05-17,23.8125,136900,MHK
2000-05-18,23.5625,144300,MHK
2000-05-19,23.125,91700,MHK
2000-05-22,23.6875,195400,MHK
2000-05-23,24.375,468100,MHK
2000-05-24,23.375,286200,MHK
2000-05-25,23.1875,315300,MHK
2000-05-26,22.6875,193000,MHK
2000-05-30,22.9375,130200,MHK
2000-05-31,23.8125,240400,MHK
2000-06-01,23.75,344000,MHK
2000-06-02,24.125,228000,MHK
2000-06-05,23.6875,79600,MHK
2000-06-06,23.3125,60600,MHK
2000-06-07,22.75,68200,MHK
2000-06-08,22.75,138800,MHK
2000-06-09,22.1875,209600,MHK
2000-06-12,21.5625,167600,MHK
2000-06-13,21.375,106300,MHK
2000-06-14,21.5625,146900,MHK
2000-06-15,22.4375,124700,MHK
2000-06-16,21.4375,139700,MHK
2000-06-19,21.6875,113200,MHK
2000-06-20,21.9375,125000,MHK
2000-06-21,20.9375,105300,MHK
2000-06-22,20.75,160600,MHK
2000-06-23,20.9375,105500,MHK
2000-06-26,21.6875,378900,MHK
2000-06-27,22.4375,241600,MHK
2000-06-28,22.5625,208400,MHK
2000-06-29,24.0625,323600,MHK
2000-06-30,21.734375,625800,MHK
2000-07-03,24.25,124600,MHK
2000-07-05,23.3125,157300,MHK
2000-07-06,23.5,158400,MHK
2000-07-07,24.1875,347800,MHK
2000-07-10,24.625,212000,MHK
2000-07-11,24.3125,441700,MHK
2000-07-12,24.0625,235200,MHK
2000-07-13,24.3125,35900,MHK
2000-07-14,24.9375,92500,MHK
2000-07-17,24.5,76600,MHK
2000-07-18,24.1875,77200,MHK
2000-07-19,24.125,97300,MHK
2000-07-20,24.625,128500,MHK
2000-07-21,24.5625,123500,MHK
2000-07-24,24.5625,72000,MHK
2000-07-25,25.0625,128200,MHK
2000-07-26,25.9375,257400,MHK
2000-07-27,25.9375,160300,MHK
2000-07-28,25.875,112000,MHK
2000-07-31,26.6875,167300,MHK
2000-08-01,27.0,298700,MHK
2000-08-02,26.8125,269200,MHK
2000-08-03,26.375,74300,MHK
2000-08-04,26.8125,47900,MHK
2000-08-07,27.25,180000,MHK
2000-08-08,27.375,309300,MHK
2000-08-09,27.0,144300,MHK
2000-08-10,26.1875,145800,MHK
2000-08-11,26.875,158500,MHK
2000-08-14,26.875,115500,MHK
2000-08-15,26.625,78200,MHK
2000-08-16,26.5625,56200,MHK
2000-08-17,26.0,64000,MHK
2000-08-18,25.8125,72200,MHK
2000-08-21,25.8125,73600,MHK
2000-08-22,26.3125,96300,MHK
2000-08-23,25.3125,69100,MHK
2000-08-24,25.4375,133900,MHK
2000-08-25,24.9375,136800,MHK
2000-08-28,24.0,81400,MHK
2000-08-29,24.5,92700,MHK
2000-08-30,23.875,47600,MHK
2000-08-31,23.75,105500,MHK
2000-09-01,24.25,142700,MHK
2000-09-05,23.4375,134100,MHK
2000-09-06,26.5,840000,MHK
2000-09-07,27.0625,259300,MHK
2000-09-08,25.875,1355700,MHK
2000-09-11,25.4375,168300,MHK
2000-09-12,25.6875,169300,MHK
2000-09-13,24.5625,403200,MHK
2000-09-14,23.9375,556100,MHK
2000-09-15,23.3125,317100,MHK
2000-09-18,22.375,385000,MHK
2000-09-19,22.125,565100,MHK
2000-09-20,21.625,318200,MHK
2000-09-21,21.25,202600,MHK
2000-09-22,22.0,130900,MHK
2000-09-25,22.4375,1548400,MHK
2000-09-26,22.0,135900,MHK
2000-09-27,21.875,109700,MHK
2000-09-28,22.75,144400,MHK
2000-09-29,21.8125,145200,MHK
2000-10-02,21.5,411800,MHK
2000-10-03,21.3125,160100,MHK
2000-10-04,21.5,438800,MHK
2000-10-05,22.0625,147100,MHK
2000-10-06,22.125,112900,MHK
2000-10-09,21.6875,54000,MHK
2000-10-10,21.1875,286300,MHK
2000-10-11,19.75,440400,MHK
2000-10-12,19.3125,175700,MHK
2000-10-13,19.5,867300,MHK
2000-10-16,19.75,301800,MHK
2000-10-17,19.1875,301700,MHK
2000-10-18,19.3125,560500,MHK
2000-10-19,20.125,610000,MHK
2000-10-20,20.125,77900,MHK
2000-10-23,19.5625,139000,MHK
2000-10-24,19.5625,254100,MHK
2000-10-25,19.4375,653500,MHK
2000-10-26,20.25,831100,MHK
2000-10-27,20.1875,66400,MHK
2000-10-30,21.1875,168500,MHK
2000-10-31,21.8125,97900,MHK
2000-11-01,21.5625,72600,MHK
2000-11-02,21.625,80900,MHK
2000-11-03,21.6875,47100,MHK
2000-11-06,21.75,115000,MHK
2000-11-07,21.375,96200,MHK
2000-11-08,21.1875,111300,MHK
2000-11-09,20.6875,140600,MHK
2000-11-10,20.5,120000,MHK
2000-11-13,20.9375,138100,MHK
2000-11-14,21.375,172400,MHK
2000-11-15,21.25,103400,MHK
2000-11-16,21.625,198900,MHK
2000-11-17,21.9375,53900,MHK
2000-11-20,22.375,207400,MHK
2000-11-21,22.3125,195100,MHK
2000-11-22,22.0625,147700,MHK
2000-11-24,22.25,39600,MHK
2000-11-27,23.1875,93800,MHK
2000-11-28,22.9375,156200,MHK
2000-11-29,23.8125,309300,MHK
2000-11-30,23.6875,181400,MHK
2000-12-01,24.6875,415300,MHK
2000-12-04,24.125,105300,MHK
2000-12-05,25.1875,193700,MHK
2000-12-06,25.0,114100,MHK
2000-12-07,25.1875,258600,MHK
2000-12-08,25.6875,258100,MHK
2000-12-11,26.0625,223500,MHK
2000-12-12,25.3125,227200,MHK
2000-12-13,24.5,144700,MHK
2000-12-14,24.625,199100,MHK
2000-12-15,24.9375,213100,MHK
2000-12-18,24.9375,74800,MHK
2000-12-19,24.6875,215600,MHK
2000-12-20,24.0,197600,MHK
2000-12-21,24.25,775000,MHK
2000-12-22,25.3125,322800,MHK
2000-12-26,25.1875,101200,MHK
2000-12-27,27.6875,122600,MHK
2000-12-28,29.0,270500,MHK
2000-12-29,27.375,244900,MHK
2001-01-02,27.25,219900,MHK
2001-01-03,28.5,363400,MHK
2001-01-04,29.5625,252700,MHK
2001-01-05,29.5625,284400,MHK
2001-01-08,30.75,374600,MHK
2001-01-09,30.5,474600,MHK
2001-01-10,30.0,323000,MHK
2001-01-11,30.0,103300,MHK
2001-01-12,30.875,363600,MHK
2001-01-16,31.5625,416000,MHK
2001-01-17,31.0,237700,MHK
2001-01-18,31.0,298800,MHK
2001-01-19,30.0,248900,MHK
2001-01-22,30.4375,175100,MHK
2001-01-23,31.0625,183800,MHK
2001-01-24,30.1875,227600,MHK
2001-01-25,30.875,287000,MHK
2001-01-26,30.1875,171700,MHK
2001-01-29,30.850000381469727,187000,MHK
2001-01-30,30.670000076293945,168600,MHK
2001-01-31,31.5,284900,MHK
2001-02-01,32.20000076293945,285200,MHK
2001-02-02,31.940000534057617,79200,MHK
2001-02-05,31.889999389648438,69300,MHK
2001-02-06,31.969999313354492,191500,MHK
2001-02-07,31.469999313354492,248100,MHK
2001-02-08,30.75,307400,MHK
2001-02-09,29.40999984741211,1172200,MHK
2001-02-12,29.649999618530273,551900,MHK
2001-02-13,29.84000015258789,142700,MHK
2001-02-14,30.0,476800,MHK
2001-02-15,30.690000534057617,382800,MHK
2001-02-16,30.770000457763672,248500,MHK
2001-02-20,31.510000228881836,279500,MHK
2001-02-21,31.979999542236328,546100,MHK
2001-02-22,31.469999313354492,425100,MHK
2001-02-23,30.899999618530273,144000,MHK
2001-02-26,31.059999465942383,145600,MHK
2001-02-27,30.530000686645508,150600,MHK
2001-02-28,29.950000762939453,343100,MHK
2001-03-01,29.739999771118164,211800,MHK
2001-03-02,30.229999542236328,288300,MHK
2001-03-05,30.969999313354492,223900,MHK
2001-03-06,30.200000762939453,313500,MHK
2001-03-07,30.559999465942383,222900,MHK
2001-03-08,30.940000534057617,183500,MHK
2001-03-09,30.93000030517578,92800,MHK
2001-03-12,30.829999923706055,87000,MHK
2001-03-13,30.030000686645508,334700,MHK
2001-03-14,29.020000457763672,115800,MHK
2001-03-15,29.59000015258789,154200,MHK
2001-03-16,28.899999618530273,254200,MHK
2001-03-19,28.959999084472656,353700,MHK
2001-03-20,29.190000534057617,240900,MHK
2001-03-21,27.450000762939453,525200,MHK
2001-03-22,27.65999984741211,356700,MHK
2001-03-23,27.389999389648438,103000,MHK
2001-03-26,28.639999389648438,110300,MHK
2001-03-27,28.850000381469727,137900,MHK
2001-03-28,28.100000381469727,162600,MHK
2001-03-29,28.510000228881836,117000,MHK
2001-03-30,28.079999923706055,466400,MHK
2001-04-02,28.549999237060547,214800,MHK
2001-04-03,28.059999465942383,184400,MHK
