,Symbol,GICS Sector
0,MMM,Industrials
1,ABT,Health Care
2,ABBV,Health Care
3,ABMD,Health Care
4,ACN,Information Technology
5,ATVI,Communication Services
6,ADBE,Information Technology
7,AMD,Information Technology
8,AAP,Consumer Discretionary
9,AES,Utilities
10,AFL,Financials
11,A,Health Care
12,APD,Materials
13,AKAM,Information Technology
14,ALK,Industrials
15,ALB,Materials
16,ARE,Real Estate
17,ALXN,Health Care
18,ALGN,Health Care
19,ALLE,Industrials
20,ADS,Information Technology
21,LNT,Utilities
22,ALL,Financials
23,GOOGL,Communication Services
24,GOOG,Communication Services
25,MO,Consumer Staples
26,AMZN,Consumer Discretionary
27,AMCR,Materials
28,AEE,Utilities
29,AAL,Industrials
30,AEP,Utilities
31,AXP,Financials
32,AIG,Financials
33,AMT,Real Estate
34,AWK,Utilities
35,AMP,Financials
36,ABC,Health Care
37,AME,Industrials
38,AMGN,Health Care
39,APH,Information Technology
40,ADI,Information Technology
41,ANSS,Information Technology
42,ANTM,Health Care
43,AON,Financials
44,AOS,Industrials
45,APA,Energy
46,AIV,Real Estate
47,AAPL,Information Technology
48,AMAT,Information Technology
49,APTV,Consumer Discretionary
50,ADM,Consumer Staples
51,ANET,Information Technology
52,AJG,Financials
53,AIZ,Financials
54,T,Communication Services
55,ATO,Utilities
56,ADSK,Information Technology
57,ADP,Information Technology
58,AZO,Consumer Discretionary
59,AVB,Real Estate
60,AVY,Materials
61,BKR,Energy
62,BLL,Materials
63,BAC,Financials
64,BK,Financials
65,BAX,Health Care
66,BDX,Health Care
67,BRK.B,Financials
68,BBY,Consumer Discretionary
69,BIIB,Health Care
70,BLK,Financials
71,BA,Industrials
72,BKNG,Consumer Discretionary
73,BWA,Consumer Discretionary
74,BXP,Real Estate
75,BSX,Health Care
76,BMY,Health Care
77,AVGO,Information Technology
78,BR,Information Technology
79,BF.B,Consumer Staples
80,CHRW,Industrials
81,COG,Energy
82,CDNS,Information Technology
83,CPB,Consumer Staples
84,COF,Financials
85,CAH,Health Care
86,KMX,Consumer Discretionary
87,CCL,Consumer Discretionary
88,CARR,Industrials
89,CAT,Industrials
90,CBOE,Financials
91,CBRE,Real Estate
92,CDW,Information Technology
93,CE,Materials
94,CNC,Health Care
95,CNP,Utilities
96,CTL,Communication Services
97,CERN,Health Care
98,CF,Materials
99,SCHW,Financials
100,CHTR,Communication Services
101,CVX,Energy
102,CMG,Consumer Discretionary
103,CB,Financials
104,CHD,Consumer Staples
105,CI,Health Care
106,CINF,Financials
107,CTAS,Industrials
108,CSCO,Information Technology
109,C,Financials
110,CFG,Financials
111,CTXS,Information Technology
112,CLX,Consumer Staples
113,CME,Financials
114,CMS,Utilities
115,KO,Consumer Staples
116,CTSH,Information Technology
117,CL,Consumer Staples
118,CMCSA,Communication Services
119,CMA,Financials
120,CAG,Consumer Staples
121,CXO,Energy
122,COP,Energy
123,ED,Utilities
124,STZ,Consumer Staples
125,COO,Health Care
126,CPRT,Industrials
127,GLW,Information Technology
128,CTVA,Materials
129,COST,Consumer Staples
130,COTY,Consumer Staples
131,CCI,Real Estate
132,CSX,Industrials
133,CMI,Industrials
134,CVS,Health Care
135,DHI,Consumer Discretionary
136,DHR,Health Care
137,DRI,Consumer Discretionary
138,DVA,Health Care
139,DE,Industrials
140,DAL,Industrials
141,XRAY,Health Care
142,DVN,Energy
143,DXCM,Health Care
144,FANG,Energy
145,DLR,Real Estate
146,DFS,Financials
147,DISCA,Communication Services
148,DISCK,Communication Services
149,DISH,Communication Services
150,DG,Consumer Discretionary
151,DLTR,Consumer Discretionary
152,D,Utilities
153,DPZ,Consumer Discretionary
154,DOV,Industrials
155,DOW,Materials
156,DTE,Utilities
157,DUK,Utilities
158,DRE,Real Estate
159,DD,Materials
160,DXC,Information Technology
161,ETFC,Financials
162,EMN,Materials
163,ETN,Industrials
164,EBAY,Consumer Discretionary
165,ECL,Materials
166,EIX,Utilities
167,EW,Health Care
168,EA,Communication Services
169,EMR,Industrials
170,ETR,Utilities
171,EOG,Energy
172,EFX,Industrials
173,EQIX,Real Estate
174,EQR,Real Estate
175,ESS,Real Estate
176,EL,Consumer Staples
177,EVRG,Utilities
178,ES,Utilities
179,RE,Financials
180,EXC,Utilities
181,EXPE,Consumer Discretionary
182,EXPD,Industrials
183,EXR,Real Estate
184,XOM,Energy
185,FFIV,Information Technology
186,FB,Communication Services
187,FAST,Industrials
188,FRT,Real Estate
189,FDX,Industrials
190,FIS,Information Technology
191,FITB,Financials
192,FE,Utilities
193,FRC,Financials
194,FISV,Information Technology
195,FLT,Information Technology
196,FLIR,Information Technology
197,FLS,Industrials
198,FMC,Materials
199,F,Consumer Discretionary
200,FTNT,Information Technology
201,FTV,Industrials
202,FBHS,Industrials
203,FOXA,Communication Services
204,FOX,Communication Services
205,BEN,Financials
206,FCX,Materials
207,GPS,Consumer Discretionary
208,GRMN,Consumer Discretionary
209,IT,Information Technology
210,GD,Industrials
211,GE,Industrials
212,GIS,Consumer Staples
213,GM,Consumer Discretionary
214,GPC,Consumer Discretionary
215,GILD,Health Care
216,GL,Financials
