Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,10.53125,10.75,10.4375,10.75,2.081667184829712,266800.0
1990-01-03,10.6875,10.96875,10.625,10.75,2.081667184829712,274800.0
1990-01-04,10.75,10.75,10.59375,10.71875,2.0756149291992188,217200.0
1990-01-05,10.65625,10.6875,10.46875,10.53125,2.0393073558807373,428000.0
1990-01-08,10.5625,10.5625,10.5,10.53125,2.0393073558807373,270400.0
1990-01-09,10.46875,10.5,10.25,10.25,1.98484468460083,185200.0
1990-01-10,10.3125,10.40625,10.03125,10.0625,1.9485372304916382,750000.0
1990-01-11,10.125,10.25,10.0625,10.15625,1.966691493988037,187600.0
1990-01-12,10.09375,10.21875,10.0,10.0,1.9364337921142578,238000.0
1990-01-15,10.03125,10.03125,9.9375,9.96875,1.9303829669952393,337200.0
1990-01-16,9.9375,9.96875,9.9375,9.96875,1.9303829669952393,543200.0
1990-01-17,9.9375,10.09375,9.90625,10.0,1.9364337921142578,362400.0
1990-01-18,9.96875,10.0625,9.90625,10.0625,1.9485372304916382,287200.0
1990-01-19,10.0625,10.09375,9.9375,9.96875,1.9303829669952393,652000.0
1990-01-22,9.90625,9.96875,9.65625,9.65625,1.9298832416534424,686800.0
1990-01-23,9.71875,9.75,9.59375,9.59375,1.9173924922943115,361200.0
1990-01-24,9.5,9.59375,9.4375,9.5,1.898655652999878,351600.0
1990-01-25,9.5625,9.59375,9.4375,9.46875,1.8924099206924438,371200.0
1990-01-26,9.46875,9.53125,9.25,9.3125,1.8611805438995361,712400.0
1990-01-29,9.375,9.5,9.28125,9.46875,1.8924099206924438,242800.0
1990-01-30,9.4375,9.46875,9.03125,9.15625,1.8299541473388672,900800.0
1990-01-31,9.15625,9.6875,9.15625,9.6875,1.9361283779144287,396400.0
1990-02-01,9.6875,9.84375,9.59375,9.84375,1.967356562614441,239600.0
1990-02-02,9.84375,9.875,9.71875,9.75,1.94861900806427,403600.0
1990-02-05,9.75,9.75,9.625,9.6875,1.9361283779144287,364800.0
1990-02-06,9.6875,9.71875,9.625,9.6875,1.9361283779144287,184000.0
1990-02-07,9.625,9.71875,9.59375,9.6875,1.9361283779144287,298000.0
1990-02-08,9.6875,9.6875,9.59375,9.625,1.9236372709274292,398400.0
1990-02-09,9.625,9.65625,9.53125,9.65625,1.9298832416534424,306400.0
1990-02-12,9.59375,9.625,9.4375,9.46875,1.8924099206924438,420800.0
1990-02-13,9.5,9.53125,9.4375,9.5,1.898655652999878,264800.0
1990-02-14,9.53125,9.59375,9.5,9.59375,1.9173924922943115,202000.0
1990-02-15,9.625,9.84375,9.625,9.84375,1.967356562614441,505600.0
1990-02-16,9.84375,9.84375,9.71875,9.78125,1.9548662900924683,217600.0
1990-02-20,9.75,9.75,9.6875,9.75,1.94861900806427,198400.0
1990-02-21,9.71875,9.71875,9.625,9.65625,1.9298832416534424,466000.0
1990-02-22,9.625,9.65625,9.5625,9.5625,1.9111459255218506,365600.0
1990-02-23,9.5625,9.59375,9.46875,9.46875,1.8924099206924438,207600.0
1990-02-26,9.53125,9.6875,9.53125,9.6875,1.9361283779144287,174800.0
1990-02-27,9.6875,9.6875,9.5625,9.59375,1.9173924922943115,169200.0
1990-02-28,9.59375,9.65625,9.59375,9.59375,1.9173924922943115,159600.0
1990-03-01,9.53125,9.71875,9.53125,9.65625,1.9298832416534424,272800.0
1990-03-02,9.65625,9.65625,9.5,9.5,1.898655652999878,401600.0
1990-03-05,9.4375,9.46875,9.3125,9.3125,1.8611805438995361,575600.0
1990-03-06,9.375,9.375,9.28125,9.34375,1.8674267530441284,1266400.0
1990-03-07,9.375,9.46875,9.25,9.46875,1.8924099206924438,728000.0
