Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.0,3.59375,3.40625,3.5,2.0251822471618652,53600.0
1990-01-03,0.0,3.6875,3.5625,3.5625,2.0613462924957275,111200.0
1990-01-04,0.0,3.5625,3.5625,3.5625,2.0613462924957275,1600.0
1990-01-05,3.5625,3.5625,3.5625,3.5625,2.0613462924957275,0.0
1990-01-08,0.0,3.5625,3.5625,3.5625,2.0613462924957275,1600.0
1990-01-09,3.5625,3.5625,3.5625,3.5625,2.0613462924957275,0.0
1990-01-10,3.5625,3.5625,3.5625,3.5625,2.0613462924957275,0.0
1990-01-11,3.5625,3.5625,3.5625,3.5625,2.0613462924957275,0.0
1990-01-12,0.0,3.53125,3.46875,3.5,2.0251822471618652,24000.0
1990-01-15,0.0,3.59375,3.59375,3.59375,2.079427719116211,800.0
1990-01-16,0.0,3.59375,3.59375,3.59375,2.079427719116211,800.0
1990-01-17,0.0,3.46875,3.46875,3.46875,2.007100820541382,3200.0
1990-01-18,0.0,3.53125,3.375,3.375,1.9528549909591675,44800.0
1990-01-19,0.0,3.46875,3.34375,3.46875,2.007100820541382,8000.0
1990-01-22,0.0,3.46875,3.34375,3.46875,2.007100820541382,2400.0
1990-01-23,0.0,3.375,3.15625,3.3125,1.9166903495788574,108000.0
1990-01-24,0.0,3.3125,3.125,3.25,1.880525827407837,52000.0
1990-01-25,0.0,3.4375,3.3125,3.3125,1.9166903495788574,37600.0
1990-01-26,0.0,3.4375,3.25,3.3125,1.9166903495788574,48800.0
1990-01-29,0.0,3.28125,3.21875,3.25,1.880525827407837,167200.0
1990-01-30,0.0,3.25,3.21875,3.21875,1.8624430894851685,60000.0
1990-01-31,0.0,3.28125,3.21875,3.25,1.880525827407837,1628000.0
1990-02-01,0.0,3.375,3.28125,3.28125,1.8986080884933472,143200.0
1990-02-02,0.0,3.40625,3.296875,3.375,1.9528549909591675,46400.0
1990-02-05,0.0,3.4375,3.40625,3.4375,1.989018201828003,228000.0
1990-02-06,0.0,3.453125,3.4375,3.4375,1.989018201828003,228800.0
1990-02-07,0.0,3.453125,3.4375,3.453125,1.998059630393982,169600.0
1990-02-08,0.0,3.40625,3.375,3.375,1.9528549909591675,16000.0
1990-02-09,0.0,3.40625,3.3125,3.3125,1.9166903495788574,32800.0
1990-02-12,0.0,3.4375,3.3125,3.3125,1.9166903495788574,17600.0
1990-02-13,0.0,3.34375,3.3125,3.3125,1.9166903495788574,46400.0
1990-02-14,0.0,3.3125,3.3125,3.3125,1.9166903495788574,1600.0
1990-02-15,0.0,3.3125,3.3125,3.3125,1.9166903495788574,2400.0
